id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
110,Nayi Soch Association,Lucknow,Uttar Pradesh,skill development,"Working towards sustainable skill development solutions, focusing on community-driven projects and capacity building.","Nayi Soch Association works across Lucknow, offering programs in skill development. They focus on long-term impact and community engagement.",REG85959013,medical supplies,medical,
111,Sankalp Federation,Vadodara,Gujarat,elderly care,"Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG20285914,,"legal aid, mentoring, data analysis",https://www.sankalpfederation.org
112,Shram Foundation,Pune,Maharashtra,health,"We provide support and resources for health, aiming to build local resilience and skills.","Shram Foundation works across Pune, offering programs in health. They focus on long-term impact and community engagement.",REG95498715,toys,legal aid,
113,Asha Seva Kendra,Lucknow,Uttar Pradesh,"disability support, women empowerment",To improve access to disability support services for underserved communities in Lucknow and surrounding areas.,Asha Seva Kendra runs multiple initiatives in Lucknow related to disability support and works closely with local beneficiaries.,REG60688916,"computers, kitchenware, toys",,
114,Samarpan Federation,Pune,Maharashtra,"health, child welfare","We provide support and resources for health, aiming to build local resilience and skills.",A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG17973317,"computers, hygiene kits, blankets","agriculture expertise, teaching, medical",
115,Jeevan Association,Visakhapatnam,Andhra Pradesh,research,"We provide support and resources for research, aiming to build local resilience and skills.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG78947718,,,https://www.jeevanassociation.org
116,Dhanak Centre,Surat,Gujarat,agriculture,To improve access to agriculture services for underserved communities in Surat and surrounding areas.,"Dhanak Centre works across Surat, offering programs in agriculture. They focus on long-term impact and community engagement.",REG33373019,"toys, kitchenware",,
117,Sankalp Centre,Lucknow,Uttar Pradesh,rural development,"We provide support and resources for rural development, aiming to build local resilience and skills.",A grassroots organization dedicated to rural development with experience in project implementation and volunteer coordination.,REG94408220,"stationery, kitchenware, toys",construction,
118,Nirmaan Society,Patna,Bihar,women empowerment,"Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.","Nirmaan Society works across Patna, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG70894921,,"agriculture expertise, logistics",
119,Jeevan Charitable Trust,Vadodara,Gujarat,"housing, environment","We provide support and resources for housing, aiming to build local resilience and skills.",Jeevan Charitable Trust runs multiple initiatives in Vadodara related to housing and works closely with local beneficiaries.,REG66426422,"computers, books, kitchenware",data analysis,
120,Jeevan Association,Patna,Bihar,rural development,Committed to delivering scalable rural development interventions through partnerships with local stakeholders.,"Jeevan Association works across Patna, offering programs in rural development. They focus on long-term impact and community engagement.",REG23955623,,"event management, data analysis",
121,Nirmaan Federation,Guwahati,Assam,disaster relief,To improve access to disaster relief services for underserved communities in Guwahati and surrounding areas.,Nirmaan Federation runs multiple initiatives in Guwahati related to disaster relief and works closely with local beneficiaries.,REG46558924,"kitchenware, medical supplies","fundraising, data analysis, construction",https://www.nirmaanfederation.org
122,Navjeevan Association,Guwahati,Assam,"child welfare, health","We provide support and resources for child welfare, aiming to build local resilience and skills.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG82921925,,"medical, mentoring, project management",https://www.navjeevanassociation.org
123,Sankriti Society,Kolkata,West Bengal,research,"We provide support and resources for research, aiming to build local resilience and skills.",Sankriti Society runs multiple initiatives in Kolkata related to research and works closely with local beneficiaries.,REG25497026,"hygiene kits, computers, clothes",,
124,Saathi Foundation,Kochi,Kerala,"education, mental health","Focused on inclusive education programs, especially targeting women, children and marginalized groups.","Saathi Foundation works across Kochi, offering programs in education. They focus on long-term impact and community engagement.",REG15072427,toys,counselling,https://www.saathifoundation.org
125,Jeevan Centre,Kolkata,West Bengal,mental health,"Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.",Jeevan Centre runs multiple initiatives in Kolkata related to mental health and works closely with local beneficiaries.,REG48523228,,,
126,Saathi Trust,Bhopal,Madhya Pradesh,"child welfare, disaster relief",To improve access to child welfare services for underserved communities in Bhopal and surrounding areas.,Saathi Trust runs multiple initiatives in Bhopal related to child welfare and works closely with local beneficiaries.,REG13582229,"computers, blankets, books","data analysis, software development, legal aid",https://www.saathitrust.org
